index,top5_indices,top5_tanimoto
298,"[np.int64(739), np.int64(443), np.int64(896), np.int64(188), np.int64(509)]","[0.5, 0.375, 0.3333333333333333, 0.3225806451612903, 0.3125]"
299,"[np.int64(164), np.int64(443), np.int64(205), np.int64(1192), np.int64(275)]","[0.5909090909090909, 0.391304347826087, 0.391304347826087, 0.358974358974359, 0.34782608695652173]"
300,"[np.int64(746), np.int64(378), np.int64(1273), np.int64(838), np.int64(1313)]","[0.8571428571428571, 0.8387096774193549, 0.7903225806451613, 0.7313432835820896, 0.7014925373134329]"
301,"[np.int64(1440), np.int64(0), np.int64(1171), np.int64(187), np.int64(63)]","[0.8, 0.5641025641025641, 0.4791666666666667, 0.325, 0.30612244897959184]"
302,"[np.int64(938), np.int64(197), np.int64(114), np.int64(45), np.int64(1031)]","[0.40625, 0.3939393939393939, 0.37142857142857144, 0.3548387096774194, 0.35135135135135137]"
303,"[np.int64(652), np.int64(496), np.int64(264), np.int64(502), np.int64(392)]","[0.7027027027027027, 0.5833333333333334, 0.55, 0.5365853658536586, 0.5121951219512195]"
304,"[np.int64(776), np.int64(1001), np.int64(890), np.int64(1045), np.int64(852)]","[0.328125, 0.3230769230769231, 0.30612244897959184, 0.2777777777777778, 0.2727272727272727]"
305,"[np.int64(192), np.int64(185), np.int64(720), np.int64(340), np.int64(791)]","[1.0, 0.45454545454545453, 0.4, 0.36363636363636365, 0.2903225806451613]"
306,"[np.int64(990), np.int64(46), np.int64(505), np.int64(902), np.int64(656)]","[0.3076923076923077, 0.2903225806451613, 0.2903225806451613, 0.2727272727272727, 0.2702702702702703]"
307,"[np.int64(959), np.int64(660), np.int64(534), np.int64(610), np.int64(278)]","[0.5, 0.4375, 0.3939393939393939, 0.3939393939393939, 0.3125]"
308,"[np.int64(747), np.int64(1082), np.int64(1080), np.int64(160), np.int64(865)]","[0.9767441860465116, 0.7307692307692307, 0.7115384615384616, 0.37254901960784315, 0.35294117647058826]"
309,"[np.int64(1002), np.int64(285), np.int64(412), np.int64(44), np.int64(563)]","[0.5652173913043478, 0.5, 0.48148148148148145, 0.4444444444444444, 0.41935483870967744]"
310,"[np.int64(380), np.int64(977), np.int64(971), np.int64(551), np.int64(59)]","[0.9230769230769231, 0.4117647058823529, 0.3888888888888889, 0.375, 0.375]"
311,"[np.int64(431), np.int64(1235), np.int64(1202), np.int64(1188), np.int64(716)]","[0.19148936170212766, 0.17647058823529413, 0.17543859649122806, 0.17543859649122806, 0.17391304347826086]"
312,"[np.int64(314), np.int64(302), np.int64(194), np.int64(216), np.int64(1221)]","[0.25925925925925924, 0.20512820512820512, 0.2, 0.19607843137254902, 0.1951219512195122]"
313,"[np.int64(355), np.int64(400), np.int64(420), np.int64(1017), np.int64(637)]","[0.6590909090909091, 0.6444444444444445, 0.5098039215686274, 0.5, 0.4230769230769231]"
314,"[np.int64(194), np.int64(455), np.int64(1285), np.int64(302), np.int64(279)]","[0.45454545454545453, 0.42857142857142855, 0.3333333333333333, 0.2692307692307692, 0.2631578947368421]"
315,"[np.int64(779), np.int64(232), np.int64(1309), np.int64(283), np.int64(1193)]","[0.6, 0.5106382978723404, 0.46, 0.46, 0.4489795918367347]"
316,"[np.int64(667), np.int64(233), np.int64(941), np.int64(847), np.int64(363)]","[0.3333333333333333, 0.325, 0.30303030303030304, 0.3, 0.2972972972972973]"
317,"[np.int64(71), np.int64(6), np.int64(1440), np.int64(1405), np.int64(301)]","[0.2982456140350877, 0.29310344827586204, 0.26153846153846155, 0.2608695652173913, 0.2542372881355932]"
318,"[np.int64(292), np.int64(8), np.int64(178), np.int64(269), np.int64(17)]","[0.29508196721311475, 0.25925925925925924, 0.2413793103448276, 0.24, 0.23636363636363636]"
319,"[np.int64(55), np.int64(950), np.int64(1011), np.int64(988), np.int64(147)]","[0.19047619047619047, 0.18181818181818182, 0.17391304347826086, 0.17391304347826086, 0.1724137931034483]"
320,"[np.int64(605), np.int64(392), np.int64(394), np.int64(203), np.int64(154)]","[0.37209302325581395, 0.30434782608695654, 0.2926829268292683, 0.2777777777777778, 0.2702702702702703]"
321,"[np.int64(1012), np.int64(959), np.int64(370), np.int64(468), np.int64(815)]","[0.6585365853658537, 0.2391304347826087, 0.23333333333333334, 0.23333333333333334, 0.23333333333333334]"
322,"[np.int64(594), np.int64(462), np.int64(621), np.int64(398), np.int64(214)]","[0.5833333333333334, 0.475, 0.4634146341463415, 0.425, 0.39473684210526316]"
323,"[np.int64(282), np.int64(1438), np.int64(117), np.int64(262), np.int64(406)]","[0.5365853658536586, 0.34, 0.3170731707317073, 0.30303030303030304, 0.2777777777777778]"
324,"[np.int64(158), np.int64(504), np.int64(582), np.int64(591), np.int64(981)]","[0.5454545454545454, 0.46938775510204084, 0.4642857142857143, 0.42857142857142855, 0.39655172413793105]"
325,"[np.int64(583), np.int64(653), np.int64(668), np.int64(451), np.int64(176)]","[0.30434782608695654, 0.2, 0.1836734693877551, 0.18181818181818182, 0.18]"
326,"[np.int64(498), np.int64(292), np.int64(850), np.int64(1192), np.int64(582)]","[0.3181818181818182, 0.29508196721311475, 0.2923076923076923, 0.288135593220339, 0.2857142857142857]"
327,"[np.int64(98), np.int64(49), np.int64(670), np.int64(736), np.int64(62)]","[0.375, 0.375, 0.3684210526315789, 0.3684210526315789, 0.3582089552238806]"
328,"[np.int64(172), np.int64(688), np.int64(363), np.int64(470), np.int64(569)]","[0.5161290322580645, 0.46875, 0.4, 0.3783783783783784, 0.24444444444444444]"
329,"[np.int64(525), np.int64(944), np.int64(46), np.int64(676), np.int64(902)]","[0.967741935483871, 0.40540540540540543, 0.3611111111111111, 0.3076923076923077, 0.24390243902439024]"
330,"[np.int64(491), np.int64(526), np.int64(383), np.int64(482), np.int64(716)]","[0.9642857142857143, 0.23333333333333334, 0.21875, 0.20930232558139536, 0.2]"
331,"[np.int64(433), np.int64(1379), np.int64(9), np.int64(1319), np.int64(1399)]","[0.9807692307692307, 0.2808988764044944, 0.25, 0.24731182795698925, 0.24705882352941178]"
332,"[np.int64(537), np.int64(238), np.int64(711), np.int64(612), np.int64(641)]","[0.9655172413793104, 0.32558139534883723, 0.325, 0.3181818181818182, 0.3170731707317073]"
333,"[np.int64(269), np.int64(8), np.int64(222), np.int64(921), np.int64(615)]","[0.5333333333333333, 0.2682926829268293, 0.25, 0.22448979591836735, 0.2127659574468085]"
334,"[np.int64(541), np.int64(929), np.int64(341), np.int64(56), np.int64(355)]","[0.9615384615384616, 0.24324324324324326, 0.23809523809523808, 0.23255813953488372, 0.22916666666666666]"
335,"[np.int64(517), np.int64(593), np.int64(376), np.int64(355), np.int64(368)]","[0.9782608695652174, 0.373134328358209, 0.36764705882352944, 0.3620689655172414, 0.35714285714285715]"
336,"[np.int64(1030), np.int64(512), np.int64(177), np.int64(711), np.int64(641)]","[0.975609756097561, 0.42, 0.4, 0.3829787234042553, 0.375]"
337,"[np.int64(266), np.int64(655), np.int64(606), np.int64(778), np.int64(785)]","[0.5476190476190477, 0.5384615384615384, 0.4339622641509434, 0.2909090909090909, 0.2830188679245283]"
338,"[np.int64(60), np.int64(1062), np.int64(9), np.int64(539), np.int64(472)]","[0.425, 0.4146341463414634, 0.3333333333333333, 0.3269230769230769, 0.26229508196721313]"
339,"[np.int64(496), np.int64(940), np.int64(392), np.int64(927), np.int64(500)]","[0.5675675675675675, 0.5531914893617021, 0.5365853658536586, 0.5306122448979592, 0.525]"
340,"[np.int64(720), np.int64(185), np.int64(192), np.int64(305), np.int64(195)]","[0.5714285714285714, 0.4444444444444444, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365]"
341,"[np.int64(734), np.int64(854), np.int64(219), np.int64(217), np.int64(1020)]","[0.3, 0.2926829268292683, 0.2727272727272727, 0.2727272727272727, 0.24489795918367346]"
342,"[np.int64(823), np.int64(859), np.int64(764), np.int64(383), np.int64(209)]","[0.19444444444444445, 0.1891891891891892, 0.15151515151515152, 0.15, 0.14705882352941177]"
343,"[np.int64(416), np.int64(368), np.int64(355), np.int64(400), np.int64(420)]","[0.6875, 0.6571428571428571, 0.4186046511627907, 0.4090909090909091, 0.3829787234042553]"
344,"[np.int64(279), np.int64(106), np.int64(507), np.int64(723), np.int64(59)]","[0.3235294117647059, 0.2926829268292683, 0.2857142857142857, 0.25, 0.24390243902439024]"
345,"[np.int64(247), np.int64(773), np.int64(691), np.int64(1298), np.int64(1076)]","[0.8072289156626506, 0.7052631578947368, 0.7010309278350515, 0.6836734693877551, 0.6774193548387096]"
346,"[np.int64(413), np.int64(610), np.int64(298), np.int64(164), np.int64(299)]","[0.3333333333333333, 0.3142857142857143, 0.2903225806451613, 0.2857142857142857, 0.25806451612903225]"
347,"[np.int64(740), np.int64(983), np.int64(929), np.int64(1125), np.int64(16)]","[0.6, 0.42105263157894735, 0.37142857142857144, 0.32558139534883723, 0.3111111111111111]"
348,"[np.int64(1290), np.int64(223), np.int64(637), np.int64(355), np.int64(400)]","[0.8372093023255814, 0.6222222222222222, 0.5777777777777777, 0.4583333333333333, 0.4489795918367347]"
349,"[np.int64(423), np.int64(216), np.int64(1036), np.int64(118), np.int64(1000)]","[0.9824561403508771, 0.453125, 0.2972972972972973, 0.2625, 0.25925925925925924]"
350,"[np.int64(406), np.int64(262), np.int64(289), np.int64(1023), np.int64(195)]","[0.7777777777777778, 0.7058823529411765, 0.5454545454545454, 0.4444444444444444, 0.4444444444444444]"
351,"[np.int64(474), np.int64(127), np.int64(744), np.int64(770), np.int64(424)]","[0.9666666666666667, 0.7352941176470589, 0.7142857142857143, 0.6904761904761905, 0.6666666666666666]"
352,"[np.int64(1360), np.int64(1294), np.int64(360), np.int64(395), np.int64(1353)]","[0.6329113924050633, 0.5119047619047619, 0.4696969696969697, 0.4, 0.37037037037037035]"
353,"[np.int64(161), np.int64(417), np.int64(679), np.int64(393), np.int64(750)]","[0.5675675675675675, 0.4883720930232558, 0.2807017543859649, 0.2727272727272727, 0.2608695652173913]"
354,"[np.int64(1073), np.int64(355), np.int64(400), np.int64(313), np.int64(888)]","[0.4, 0.3888888888888889, 0.38181818181818183, 0.3559322033898305, 0.35294117647058826]"
355,"[np.int64(400), np.int64(313), np.int64(420), np.int64(1017), np.int64(637)]","[0.9714285714285714, 0.6590909090909091, 0.6, 0.5869565217391305, 0.46808510638297873]"
356,"[np.int64(597), np.int64(1269), np.int64(1003), np.int64(1057), np.int64(1364)]","[0.967741935483871, 0.2972972972972973, 0.28888888888888886, 0.2826086956521739, 0.2558139534883721]"
357,"[np.int64(174), np.int64(519), np.int64(796), np.int64(711), np.int64(336)]","[0.9743589743589743, 0.6585365853658537, 0.6428571428571429, 0.3695652173913043, 0.3684210526315789]"
358,"[np.int64(1454), np.int64(1414), np.int64(1084), np.int64(1288), np.int64(1302)]","[1.0, 0.975, 0.975, 0.2077922077922078, 0.2]"
359,"[np.int64(251), np.int64(492), np.int64(373), np.int64(575), np.int64(1285)]","[0.2857142857142857, 0.23809523809523808, 0.23076923076923078, 0.2, 0.17647058823529413]"
360,"[np.int64(395), np.int64(352), np.int64(475), np.int64(1360), np.int64(241)]","[0.6888888888888889, 0.4696969696969697, 0.4166666666666667, 0.3888888888888889, 0.32653061224489793]"
361,"[np.int64(572), np.int64(600), np.int64(639), np.int64(587), np.int64(477)]","[0.813953488372093, 0.8055555555555556, 0.6590909090909091, 0.6222222222222222, 0.5471698113207547]"
362,"[np.int64(1016), np.int64(416), np.int64(255), np.int64(655), np.int64(1036)]","[0.27450980392156865, 0.2708333333333333, 0.26, 0.2553191489361702, 0.2542372881355932]"
363,"[np.int64(172), np.int64(470), np.int64(328), np.int64(233), np.int64(688)]","[0.6774193548387096, 0.4, 0.4, 0.3111111111111111, 0.3]"
364,"[np.int64(590), np.int64(243), np.int64(245), np.int64(653), np.int64(480)]","[0.5714285714285714, 0.5370370370370371, 0.46, 0.42857142857142855, 0.4166666666666667]"
365,"[np.int64(257), np.int64(229), np.int64(250), np.int64(260), np.int64(749)]","[0.23, 0.22077922077922077, 0.22058823529411764, 0.21333333333333335, 0.21153846153846154]"
366,"[np.int64(298), np.int64(29), np.int64(86), np.int64(77), np.int64(68)]","[0.25, 0.24489795918367346, 0.23529411764705882, 0.23076923076923078, 0.22641509433962265]"
367,"[np.int64(264), np.int64(303), np.int64(496), np.int64(392), np.int64(652)]","[0.5853658536585366, 0.5, 0.5, 0.4772727272727273, 0.4666666666666667]"
368,"[np.int64(343), np.int64(416), np.int64(99), np.int64(580), np.int64(355)]","[0.6571428571428571, 0.45, 0.40816326530612246, 0.39215686274509803, 0.3829787234042553]"
369,"[np.int64(466), np.int64(168), np.int64(850), np.int64(582), np.int64(41)]","[0.3230769230769231, 0.3088235294117647, 0.296875, 0.2898550724637681, 0.2777777777777778]"
370,"[np.int64(171), np.int64(468), np.int64(698), np.int64(815), np.int64(549)]","[0.84, 0.7872340425531915, 0.6727272727272727, 0.5272727272727272, 0.4603174603174603]"
371,"[np.int64(532), np.int64(430), np.int64(667), np.int64(847), np.int64(316)]","[0.5, 0.3333333333333333, 0.23809523809523808, 0.21739130434782608, 0.21052631578947367]"
372,"[np.int64(1356), np.int64(1318), np.int64(775), np.int64(836), np.int64(1415)]","[0.21768707482993196, 0.19718309859154928, 0.1958041958041958, 0.1956521739130435, 0.1953125]"
373,"[np.int64(1285), np.int64(194), np.int64(251), np.int64(1007), np.int64(279)]","[0.6, 0.3333333333333333, 0.2727272727272727, 0.26666666666666666, 0.25]"
374,"[np.int64(238), np.int64(543), np.int64(586), np.int64(332), np.int64(537)]","[0.7428571428571429, 0.44680851063829785, 0.375, 0.30434782608695654, 0.2978723404255319]"
375,"[np.int64(158), np.int64(377), np.int64(504), np.int64(324), np.int64(591)]","[0.6511627906976745, 0.5272727272727272, 0.36363636363636365, 0.33962264150943394, 0.3387096774193548]"
376,"[np.int64(593), np.int64(637), np.int64(400), np.int64(355), np.int64(313)]","[0.9791666666666666, 0.509090909090909, 0.45614035087719296, 0.43859649122807015, 0.4032258064516129]"
377,"[np.int64(375), np.int64(981), np.int64(504), np.int64(591), np.int64(582)]","[0.5272727272727272, 0.42424242424242425, 0.4166666666666667, 0.34782608695652173, 0.3380281690140845]"
378,"[np.int64(300), np.int64(838), np.int64(1273), np.int64(746), np.int64(1313)]","[0.8387096774193549, 0.8387096774193549, 0.7868852459016393, 0.7164179104477612, 0.6716417910447762]"
379,"[np.int64(645), np.int64(685), np.int64(813), np.int64(754), np.int64(668)]","[0.9743589743589743, 0.37254901960784315, 0.36538461538461536, 0.2711864406779661, 0.2692307692307692]"
380,"[np.int64(310), np.int64(977), np.int64(971), np.int64(931), np.int64(601)]","[0.9230769230769231, 0.4375, 0.4117647058823529, 0.35, 0.34782608695652173]"
381,"[np.int64(1105), np.int64(626), np.int64(825), np.int64(1262), np.int64(654)]","[0.03225806451612903, 0.03125, 0.030303030303030304, 0.029411764705882353, 0.02857142857142857]"
382,"[np.int64(262), np.int64(980), np.int64(350), np.int64(289), np.int64(406)]","[0.39285714285714285, 0.38636363636363635, 0.3333333333333333, 0.3333333333333333, 0.3125]"
383,"[np.int64(526), np.int64(482), np.int64(330), np.int64(716), np.int64(491)]","[0.4666666666666667, 0.23333333333333334, 0.21875, 0.21621621621621623, 0.21212121212121213]"
384,"[np.int64(808), np.int64(179), np.int64(219), np.int64(102), np.int64(892)]","[0.7837837837837838, 0.525, 0.34065934065934067, 0.2875, 0.2571428571428571]"
385,"[np.int64(672), np.int64(1318), np.int64(1342), np.int64(627), np.int64(73)]","[0.9523809523809523, 0.4224137931034483, 0.4083333333333333, 0.36, 0.34375]"
386,"[np.int64(558), np.int64(823), np.int64(859), np.int64(490), np.int64(801)]","[0.8043478260869565, 0.7692307692307693, 0.75, 0.7435897435897436, 0.5576923076923077]"
387,"[np.int64(731), np.int64(146), np.int64(1318), np.int64(1342), np.int64(627)]","[0.9047619047619048, 0.6031746031746031, 0.3786407766990291, 0.3644859813084112, 0.3614457831325301]"
388,"[np.int64(964), np.int64(1054), np.int64(768), np.int64(809), np.int64(1116)]","[1.0, 0.9565217391304348, 0.9565217391304348, 0.5555555555555556, 0.5357142857142857]"
389,"[np.int64(901), np.int64(241), np.int64(893), np.int64(190), np.int64(529)]","[0.4782608695652174, 0.35555555555555557, 0.35555555555555557, 0.30612244897959184, 0.275]"
390,"[np.int64(743), np.int64(1021), np.int64(1065), np.int64(1276), np.int64(402)]","[0.40540540540540543, 0.375, 0.3684210526315789, 0.358974358974359, 0.3055555555555556]"
391,"[np.int64(586), np.int64(1192), np.int64(173), np.int64(208), np.int64(543)]","[0.5365853658536586, 0.5365853658536586, 0.46511627906976744, 0.3939393939393939, 0.3829787234042553]"
392,"[np.int64(339), np.int64(303), np.int64(264), np.int64(652), np.int64(367)]","[0.5365853658536586, 0.5121951219512195, 0.4883720930232558, 0.4772727272727273, 0.4772727272727273]"
393,"[np.int64(750), np.int64(984), np.int64(1120), np.int64(833), np.int64(695)]","[0.4857142857142857, 0.425, 0.4146341463414634, 0.3695652173913043, 0.3617021276595745]"
394,"[np.int64(793), np.int64(35), np.int64(202), np.int64(303), np.int64(496)]","[0.5882352941176471, 0.4642857142857143, 0.4482758620689655, 0.4473684210526316, 0.4444444444444444]"
395,"[np.int64(360), np.int64(1360), np.int64(475), np.int64(352), np.int64(897)]","[0.6888888888888889, 0.5652173913043478, 0.4074074074074074, 0.4, 0.3148148148148148]"
396,"[np.int64(272), np.int64(636), np.int64(613), np.int64(218), np.int64(1108)]","[0.6031746031746031, 0.5588235294117647, 0.410958904109589, 0.3898305084745763, 0.34782608695652173]"
397,"[np.int64(683), np.int64(1257), np.int64(1185), np.int64(557), np.int64(1312)]","[0.8676470588235294, 0.5060240963855421, 0.47191011235955055, 0.4634146341463415, 0.45454545454545453]"
398,"[np.int64(594), np.int64(448), np.int64(462), np.int64(322), np.int64(214)]","[0.48717948717948717, 0.43902439024390244, 0.42857142857142855, 0.425, 0.42105263157894735]"
399,"[np.int64(17), np.int64(191), np.int64(456), np.int64(936), np.int64(8)]","[0.5588235294117647, 0.5, 0.3404255319148936, 0.32558139534883723, 0.2926829268292683]"
400,"[np.int64(355), np.int64(313), np.int64(1017), np.int64(420), np.int64(1101)]","[0.9714285714285714, 0.6444444444444445, 0.6086956521739131, 0.5869565217391305, 0.4666666666666667]"
401,"[np.int64(123), np.int64(966), np.int64(107), np.int64(708), np.int64(986)]","[0.9666666666666667, 0.4878048780487805, 0.4634146341463415, 0.4166666666666667, 0.2857142857142857]"
402,"[np.int64(1022), np.int64(184), np.int64(1029), np.int64(1452), np.int64(1428)]","[0.9523809523809523, 0.5925925925925926, 0.4444444444444444, 0.42857142857142855, 0.4166666666666667]"
403,"[np.int64(797), np.int64(569), np.int64(700), np.int64(48), np.int64(559)]","[0.803921568627451, 0.47058823529411764, 0.46153846153846156, 0.4423076923076923, 0.44]"
404,"[np.int64(948), np.int64(268), np.int64(435), np.int64(595), np.int64(405)]","[0.9811320754716981, 0.5483870967741935, 0.5, 0.4852941176470588, 0.3194444444444444]"
405,"[np.int64(693), np.int64(404), np.int64(268), np.int64(948), np.int64(595)]","[0.8775510204081632, 0.3194444444444444, 0.3181818181818182, 0.3150684931506849, 0.29577464788732394]"
406,"[np.int64(350), np.int64(262), np.int64(195), np.int64(289), np.int64(200)]","[0.7777777777777778, 0.5882352941176471, 0.5, 0.45454545454545453, 0.375]"
407,"[np.int64(1026), np.int64(1325), np.int64(1401), np.int64(449), np.int64(488)]","[0.9722222222222222, 0.6136363636363636, 0.6, 0.45454545454545453, 0.44642857142857145]"
408,"[np.int64(561), np.int64(650), np.int64(315), np.int64(1302), np.int64(716)]","[0.631578947368421, 0.375, 0.3018867924528302, 0.3, 0.28846153846153844]"
409,"[np.int64(393), np.int64(750), np.int64(161), np.int64(984), np.int64(1120)]","[0.34210526315789475, 0.325, 0.2926829268292683, 0.28888888888888886, 0.2826086956521739]"
410,"[np.int64(221), np.int64(242), np.int64(464), np.int64(542), np.int64(203)]","[0.6808510638297872, 0.66, 0.5471698113207547, 0.26, 0.2553191489361702]"
411,"[np.int64(62), np.int64(829), np.int64(124), np.int64(832), np.int64(907)]","[0.2875, 0.2638888888888889, 0.2465753424657534, 0.24324324324324326, 0.24324324324324326]"
412,"[np.int64(563), np.int64(414), np.int64(554), np.int64(934), np.int64(309)]","[0.6666666666666666, 0.6060606060606061, 0.5882352941176471, 0.5555555555555556, 0.48148148148148145]"
413,"[np.int64(346), np.int64(610), np.int64(443), np.int64(299), np.int64(298)]","[0.3333333333333333, 0.2777777777777778, 0.2692307692307692, 0.25806451612903225, 0.25]"
414,"[np.int64(554), np.int64(934), np.int64(563), np.int64(412), np.int64(450)]","[0.967741935483871, 0.6578947368421053, 0.6285714285714286, 0.6060606060606061, 0.5641025641025641]"
415,"[np.int64(462), np.int64(741), np.int64(985), np.int64(1101), np.int64(306)]","[0.275, 0.2571428571428571, 0.25, 0.24390243902439024, 0.24242424242424243]"
416,"[np.int64(343), np.int64(368), np.int64(355), np.int64(400), np.int64(420)]","[0.6875, 0.45, 0.4186046511627907, 0.4090909090909091, 0.3829787234042553]"
417,"[np.int64(161), np.int64(353), np.int64(679), np.int64(393), np.int64(565)]","[0.8181818181818182, 0.4883720930232558, 0.36363636363636365, 0.28888888888888886, 0.2826086956521739]"
418,"[np.int64(758), np.int64(756), np.int64(195), np.int64(776), np.int64(1001)]","[0.28125, 0.23809523809523808, 0.22727272727272727, 0.20754716981132076, 0.2037037037037037]"
419,"[np.int64(159), np.int64(55), np.int64(1329), np.int64(1100), np.int64(1058)]","[0.2903225806451613, 0.1935483870967742, 0.1702127659574468, 0.16666666666666666, 0.16666666666666666]"
420,"[np.int64(1017), np.int64(355), np.int64(400), np.int64(313), np.int64(223)]","[0.9743589743589743, 0.6, 0.5869565217391305, 0.5098039215686274, 0.47058823529411764]"
421,"[np.int64(812), np.int64(1218), np.int64(22), np.int64(982), np.int64(445)]","[0.2222222222222222, 0.21428571428571427, 0.2, 0.17647058823529413, 0.16666666666666666]"
422,"[np.int64(258), np.int64(635), np.int64(1439), np.int64(824), np.int64(781)]","[0.2608695652173913, 0.19047619047619047, 0.18867924528301888, 0.18518518518518517, 0.1794871794871795]"
423,"[np.int64(349), np.int64(216), np.int64(1036), np.int64(1000), np.int64(766)]","[0.9824561403508771, 0.4461538461538462, 0.29333333333333333, 0.2716049382716049, 0.2631578947368421]"
424,"[np.int64(1222), np.int64(351), np.int64(474), np.int64(94), np.int64(127)]","[0.775, 0.6666666666666666, 0.6486486486486487, 0.631578947368421, 0.6052631578947368]"
425,"[np.int64(819), np.int64(619), np.int64(875), np.int64(88), np.int64(1009)]","[0.9714285714285714, 0.4166666666666667, 0.40816326530612246, 0.21568627450980393, 0.21311475409836064]"
426,"[np.int64(442), np.int64(198), np.int64(281), np.int64(239), np.int64(1172)]","[0.7368421052631579, 0.603448275862069, 0.5818181818181818, 0.576271186440678, 0.2823529411764706]"
427,"[np.int64(732), np.int64(1086), np.int64(882), np.int64(571), np.int64(1140)]","[0.6923076923076923, 0.2054794520547945, 0.1891891891891892, 0.17857142857142858, 0.17647058823529413]"
428,"[np.int64(1011), np.int64(406), np.int64(1285), np.int64(382), np.int64(1021)]","[0.3225806451612903, 0.25, 0.25, 0.23684210526315788, 0.23333333333333334]"
429,"[np.int64(765), np.int64(690), np.int64(545), np.int64(725), np.int64(629)]","[0.9818181818181818, 0.7619047619047619, 0.676923076923077, 0.6666666666666666, 0.6176470588235294]"
430,"[np.int64(532), np.int64(371), np.int64(228), np.int64(225), np.int64(366)]","[0.39285714285714285, 0.3333333333333333, 0.23333333333333334, 0.22580645161290322, 0.1891891891891892]"
431,"[np.int64(1104), np.int64(358), np.int64(1454), np.int64(684), np.int64(311)]","[0.22, 0.1935483870967742, 0.1935483870967742, 0.19230769230769232, 0.19148936170212766]"
432,"[np.int64(486), np.int64(445), np.int64(444), np.int64(762), np.int64(440)]","[0.673469387755102, 0.6170212765957447, 0.44, 0.4166666666666667, 0.208955223880597]"
433,"[np.int64(331), np.int64(1379), np.int64(539), np.int64(1419), np.int64(175)]","[0.9807692307692307, 0.2777777777777778, 0.2608695652173913, 0.2558139534883721, 0.2465753424657534]"
434,"[np.int64(1262), np.int64(896), np.int64(542), np.int64(208), np.int64(802)]","[0.5294117647058824, 0.21428571428571427, 0.21212121212121213, 0.20689655172413793, 0.20588235294117646]"
435,"[np.int64(268), np.int64(595), np.int64(404), np.int64(948), np.int64(1079)]","[0.88, 0.8, 0.5, 0.4927536231884058, 0.4696969696969697]"
436,"[np.int64(868), np.int64(938), np.int64(1078), np.int64(1219), np.int64(88)]","[0.5384615384615384, 0.5185185185185185, 0.5185185185185185, 0.47058823529411764, 0.42424242424242425]"
437,"[np.int64(637), np.int64(154), np.int64(203), np.int64(1019), np.int64(651)]","[0.5384615384615384, 0.5172413793103449, 0.4827586206896552, 0.47368421052631576, 0.38461538461538464]"
438,"[np.int64(1337), np.int64(253), np.int64(889), np.int64(1126), np.int64(892)]","[0.37777777777777777, 0.36585365853658536, 0.3384615384615385, 0.3230769230769231, 0.3181818181818182]"
439,"[np.int64(900), np.int64(1170), np.int64(1431), np.int64(1437), np.int64(1100)]","[0.2463768115942029, 0.23376623376623376, 0.22972972972972974, 0.22666666666666666, 0.22388059701492538]"
440,"[np.int64(29), np.int64(112), np.int64(77), np.int64(1070), np.int64(86)]","[0.5192307692307693, 0.4426229508196721, 0.41379310344827586, 0.3148148148148148, 0.3064516129032258]"
441,"[np.int64(612), np.int64(641), np.int64(711), np.int64(512), np.int64(177)]","[0.967741935483871, 0.5833333333333334, 0.5555555555555556, 0.47619047619047616, 0.4166666666666667]"
442,"[np.int64(426), np.int64(198), np.int64(281), np.int64(239), np.int64(1201)]","[0.7368421052631579, 0.7142857142857143, 0.6956521739130435, 0.68, 0.21794871794871795]"
443,"[np.int64(205), np.int64(244), np.int64(299), np.int64(298), np.int64(28)]","[0.4444444444444444, 0.4090909090909091, 0.391304347826087, 0.375, 0.36363636363636365]"
444,"[np.int64(445), np.int64(432), np.int64(968), np.int64(1070), np.int64(486)]","[0.46938775510204084, 0.44, 0.30952380952380953, 0.2916666666666667, 0.2786885245901639]"
445,"[np.int64(432), np.int64(444), np.int64(486), np.int64(762), np.int64(968)]","[0.6170212765957447, 0.46938775510204084, 0.41379310344827586, 0.39344262295081966, 0.20408163265306123]"
446,"[np.int64(949), np.int64(208), np.int64(581), np.int64(44), np.int64(290)]","[0.5714285714285714, 0.5416666666666666, 0.45714285714285713, 0.4482758620689655, 0.35714285714285715]"
447,"[np.int64(722), np.int64(810), np.int64(1240), np.int64(1122), np.int64(1164)]","[0.45, 0.2714285714285714, 0.2682926829268293, 0.2564102564102564, 0.2553191489361702]"
448,"[np.int64(398), np.int64(907), np.int64(189), np.int64(280), np.int64(1446)]","[0.43902439024390244, 0.3673469387755102, 0.35294117647058826, 0.3333333333333333, 0.3333333333333333]"
449,"[np.int64(488), np.int64(407), np.int64(1026), np.int64(47), np.int64(669)]","[0.9782608695652174, 0.45454545454545453, 0.44642857142857145, 0.43137254901960786, 0.4230769230769231]"
450,"[np.int64(538), np.int64(414), np.int64(554), np.int64(285), np.int64(1065)]","[0.96875, 0.5641025641025641, 0.55, 0.5135135135135135, 0.47368421052631576]"
451,"[np.int64(834), np.int64(1007), np.int64(1112), np.int64(668), np.int64(49)]","[0.8148148148148148, 0.4, 0.3333333333333333, 0.3157894736842105, 0.2727272727272727]"
452,"[np.int64(248), np.int64(999), np.int64(228), np.int64(935), np.int64(783)]","[0.07142857142857142, 0.06666666666666667, 0.05555555555555555, 0.03571428571428571, 0.029411764705882353]"
