SMILES,MW,LogP,TPSA,HBA,HBD,cluster,x_umap,y_umap,Cluster_ID
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,318.32800000000003,3.5601000000000016,66.76,4,2,955,4.0996337,2.3090656,955
NC12CC3CC(CC(C3)C1)C2,151.253,1.9139000000000002,26.02,1,1,341,2.270694,2.451518,341
CN(C)CCCN1c2ccccc2CCc2ccccc21,280.415,3.8750000000000027,6.48,2,0,33,0.58807117,-0.68494684,33
Nc1ccc(C(=O)O)c(O)c1,153.137,0.6726,83.55,3,3,954,4.9117956,-1.0095232,954
NNCCc1ccccc1,136.19799999999998,0.6924000000000001,38.05,2,2,371,5.4050136,-0.3696064,371
O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,240.21399999999997,1.8731999999999993,74.6,4,2,953,4.148473,2.4290426,953
CC(C)NCC(O)c1ccc(O)c(O)c1,211.261,1.1291999999999998,72.72,4,4,305,4.91227,-3.142182,305
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,309.4940000000001,4.402200000000004,29.54,3,0,338,3.5029473,0.34875414,338
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,301.47399999999993,4.330500000000005,23.47,2,1,30,2.0668058,0.77985823,30
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87100000000004,4.425600000000004,40.54,3,1,952,1.9693183,0.5931074,952
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,403.9790000000002,3.9427000000000034,29.950000000000003,5,1,34,0.6294488,-0.19128832,34
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,276.745,1.7379,75.27000000000001,3,2,951,4.689982,-0.47775874,951
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,208.26100000000002,1.1618000000000002,44.12,4,0,252,1.9526144,-2.247369,252
CC[C@@H](CO)NCCN[C@@H](CC)CO,204.314,-0.292599999999999,64.52,4,4,279,4.9414587,-2.5431058,279
CC12CC3CC(C)(C1)CC(N)(C3)C2,179.307,2.6941000000000006,26.02,1,1,950,2.4198604,2.508199,950
Nc1c2c(nc3ccccc13)CCCC2,198.26899999999995,2.6958,38.91,2,1,292,5.265073,-0.5731701,292
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,277.195,2.997100000000001,58.28,3,3,314,5.121914,-3.3728712,314
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,437.5310000000002,4.308100000000004,29.950000000000003,5,1,12,0.5881163,-0.22793058,12
C[N+](C)(C)CCOC(N)=O.[Cl-],182.65099999999998,-3.2080999999999973,52.32,2,1,290,6.412464,1.6828207,290
COc1cc(CCN)cc(OC)c1OC,211.26099999999994,1.2135999999999998,53.71,4,1,181,3.587112,-1.3874347,181
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,368.4970000000001,4.730800000000005,35.53,3,0,335,3.725348,0.3744694,335
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,461.55600000000015,5.8570000000000055,41.03,3,1,949,1.8344364,0.62533855,949
CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,273.741,1.6154999999999997,54.45,3,0,948,1.3496119,0.6334699,948
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,299.802,2.0023999999999997,67.59,4,2,55,3.9075053,-0.33455136,55
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,239.315,1.3059999999999998,72.72,4,4,947,5.1043897,-3.3432117,947
CN(C)CCCN1c2ccccc2Sc2ccccc21,284.42800000000005,4.241000000000003,6.48,3,0,32,0.5775728,-0.71290493,32
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,225.288,1.5192999999999999,72.72,4,4,177,5.089684,-3.3784769,177
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,313.788,3.4292000000000016,36.86,4,1,946,0.90592486,-0.29892036,946
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,311.40700000000015,1.77392,78.50999999999999,4,2,945,4.7482467,-0.5186657,945
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,385.5120000000001,2.0881999999999996,69.64000000000001,6,0,378,0.95085734,0.010021041,378
CN1CCN2c3ccccc3Cc3ccccc3C2C1,264.372,3.0839000000000016,6.48,2,0,379,1.1629249,0.78921145,379
CC(C)NNC(=O)c1ccncc1,179.223,0.7243999999999996,54.019999999999996,3,2,157,4.9791255,-1.2960937,157
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,314.49800000000005,4.271100000000003,19.03,2,1,315,1.8403541,3.551173,315
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,342.297,-5.395599999999993,189.52999999999997,11,8,944,3.782194,5.655683,944
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,341.4330000000001,0.5567000000000012,101.73,5,2,943,3.9484863,-0.33329552,943
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,370.5870000000001,5.8856000000000055,6.48,4,0,375,0.6492884,-0.12709181,375
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,321.163,3.1013000000000015,61.69,3,2,376,1.3133898,-1.2190018,376
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21.Cl,351.32099999999997,4.950200000000005,6.48,2,0,33,0.575005,-0.65205204,33
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,352.425,5.259800000000004,6.48,3,0,72,0.5534798,-0.5185515,72
CC(C)NCC(O)c1cc(O)cc(O)c1,211.261,1.1291999999999998,72.72,4,4,942,4.990053,-3.2098942,942
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,309.45300000000003,4.292000000000004,20.310000000000002,2,0,298,3.3352914,0.15012212,298
Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,421.9730000000001,2.510000000000001,69.64000000000001,6,0,378,0.992725,0.01832115,378
CNCCCN1c2ccccc2CCc2ccccc21.Cl,302.849,3.954600000000004,15.27,2,1,377,0.6920829,-0.6174173,377
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,289.375,1.9309,49.769999999999996,4,1,7,1.7412516,2.3670487,7
CN(C)CCCN1c2ccccc2CCc2ccccc21.Cl,316.87600000000003,4.296800000000005,6.48,2,0,33,0.52414525,-0.6704085,33
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,286.718,2.447900000000001,61.69,3,2,376,1.2666825,-1.1745027,376
CCCC(CCC)C(=O)[O-].[Na+],166.196,-2.043299999999997,40.129999999999995,2,0,941,6.1039753,1.1149696,941
CC(N)Cc1ccc2c(c1)OCO2,179.21899999999994,1.3049999999999997,44.480000000000004,3,1,156,-0.0706122,1.8612311,156
CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,299.761,1.8492,48.19,3,1,940,1.201746,-1.0452464,940
Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,369.36800000000005,3.515220000000002,67.87,4,1,939,3.7931051,-1.315933,939
Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,404.5040000000001,5.3852000000000055,6.48,2,0,250,1.4155738,0.41179037,250
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,275.39500000000004,4.553800000000004,3.24,1,0,374,0.080051675,-0.70537233,374
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,373.9530000000001,4.580200000000004,9.72,4,0,12,0.6894332,-0.19924629,12
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,294.44199999999995,4.121000000000003,6.48,2,0,369,0.5669386,-0.79178345,369
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2.Cl,407.04800000000006,6.307400000000007,6.48,4,0,375,0.6045578,-0.17815948,375
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21.Cl,311.85600000000005,4.9756000000000045,3.24,1,0,374,0.10263688,-0.67060155,374
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,351.4100000000001,1.559399999999999,68.78,5,1,237,0.88617736,0.0021855964,237
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,287.44699999999995,3.9404000000000035,23.47,2,1,30,2.0254586,0.8127241,30
